"idCaptura";"fkMaquinaRecurso";"registro";"dthCriacao"
429;10;2353876.0;"2024-10-14 23:01:53"
430;9;1415218.0;"2024-10-14 23:01:53"
431;1;3.4;"2024-10-14 23:01:54"
432;2;90.9;"2024-10-14 23:01:54"
433;5;0.0;"2024-10-14 23:01:54"
434;6;0.0;"2024-10-14 23:01:54"
435;3;0.0;"2024-10-14 23:01:54"
436;4;1.0;"2024-10-14 23:01:54"
437;7;2159.0;"2024-10-14 23:02:23"
438;8;413.0;"2024-10-14 23:02:23"
439;10;2354076.0;"2024-10-14 23:02:23"
440;9;1415458.0;"2024-10-14 23:02:23"
441;1;5.7;"2024-10-14 23:02:24"
442;2;91.5;"2024-10-14 23:02:24"
443;5;0.0;"2024-10-14 23:02:24"
444;6;0.0;"2024-10-14 23:02:24"
445;3;0.0;"2024-10-14 23:02:24"
446;4;1.0;"2024-10-14 23:02:24"
447;7;2159.0;"2024-10-14 23:02:54"
448;8;413.0;"2024-10-14 23:02:54"
449;10;2354214.0;"2024-10-14 23:02:54"
450;9;1415604.0;"2024-10-14 23:02:54"
451;1;3.8;"2024-10-14 23:02:54"
452;2;92.0;"2024-10-14 23:02:54"
453;5;0.0;"2024-10-14 23:02:54"
454;6;0.0;"2024-10-14 23:02:54"
455;3;0.0;"2024-10-14 23:02:54"
456;4;1.0;"2024-10-14 23:02:54"
457;7;2159.0;"2024-10-14 23:03:24"
458;8;413.0;"2024-10-14 23:03:24"
459;1;4.0;"2024-10-14 23:03:24"
460;10;2354381.0;"2024-10-14 23:03:24"
461;9;1415790.0;"2024-10-14 23:03:24"
462;2;91.3;"2024-10-14 23:03:24"
463;5;0.0;"2024-10-14 23:03:24"
464;6;0.0;"2024-10-14 23:03:24"
465;3;0.0;"2024-10-14 23:03:24"
466;4;1.0;"2024-10-14 23:03:24"
467;1;3.6;"2024-10-14 23:03:54"
468;2;91.4;"2024-10-14 23:03:54"
469;5;0.0;"2024-10-14 23:03:55"
470;6;0.0;"2024-10-14 23:03:55"
